Postcode,Postcode Status,LSOA code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
HP21 8PB,Live,E01017711,Aylesbury Vale 018C E01017711,9087,3,8091,3,0.179,8392,3,0.131,2781,1,15328,5,11358,4,12097,4,31167,10,12429,4,0.168,5018,2,0.292
HP21 7NH,Live,E01017637,Aylesbury Vale 017C E01017637,26963,9,26756,9,0.048,23476,8,0.054,25898,8,27214,9,9008,3,21050,7,27210,9,30073,10,0.034,24694,8,0.073
MK12 5BT,Live,E01016840,Milton Keynes 010D E01016840,23265,8,20684,7,0.074,25901,8,0.046,17867,6,29120,9,12916,4,9961,4,22194,7,18371,6,0.109,23327,8,0.08
S33 6SD,Live,E01019737,High Peak 013C E01019737,27599,9,23151,8,0.062,26066,8,0.046,19766,7,21838,7,27455,9,30972,10,17603,6,26191,8,0.057,23384,8,0.08
SK13 8DR,Live,E01019738,High Peak 003A E01019738,18608,6,18067,6,0.089,15881,5,0.082,17636,6,14502,5,23668,8,31348,10,6262,2,17392,6,0.117,17282,6,0.121
S41 8BA,Live,E01019570,Chesterfield 007C E01019570,10140,4,8714,3,0.171,6682,3,0.149,9934,4,3675,2,21748,7,27510,9,32115,10,5975,2,0.267,12327,4,0.17
SK22 4NR,Live,E01019748,High Peak 005C E01019748,23213,8,24271,8,0.058,24756,8,0.05,22051,7,20791,7,26330,9,28095,9,3256,1,22069,7,0.081,25555,8,0.068
DE7 5HS,Live,E01019672,Erewash 003E E01019672,7556,3,8691,3,0.171,6890,3,0.146,8677,3,7466,3,8761,3,30887,10,2657,1,5882,2,0.269,13335,5,0.158
DE22 3HU,Live,E01013455,Derby 017A E01013455,9307,3,8364,3,0.176,6852,3,0.147,12080,4,8648,3,14178,5,13447,5,12449,4,7660,3,0.237,9332,3,0.21
DE22 2LW,Live,E01013465,Derby 002A E01013465,31236,10,29050,9,0.038,28465,9,0.038,29525,9,23473,8,30648,10,22734,7,24119,8,26927,9,0.052,30690,10,0.04
BH23 3AU,Live,E01020348,Christchurch 005C E01020348,4989,2,4458,2,0.241,4976,2,0.17,1034,1,11396,4,7723,3,17735,6,19506,6,2863,1,0.342,7341,3,0.242
DT11 7SQ,Live,E01020438,North Dorset 007D E01020438,12782,4,12434,4,0.131,10451,4,0.114,12183,4,10780,4,11446,4,15937,5,18776,6,16494,6,0.125,13825,5,0.153
DT6 3DT,Live,E01020498,West Dorset 006A E01020498,20461,7,19027,6,0.083,16749,6,0.078,15074,5,23092,8,29744,10,6397,2,28706,9,18812,6,0.105,23223,8,0.081
BH17 9JU,Live,E01015414,Poole 004C E01015414,20155,7,18640,6,0.085,15717,5,0.083,22087,7,19930,7,29215,9,5148,2,27601,9,15260,5,0.137,28238,9,0.055
BH6 4AH,Live,E01015296,Bournemouth 020B E01015296,15496,5,10256,4,0.153,12041,4,0.103,17760,6,12544,4,27118,9,14960,5,21483,7,9106,3,0.215,11487,4,0.18
DL5 4AX,Live,E01020831,Sedgefield 011B E01020831,8249,3,8248,3,0.177,5620,2,0.161,12121,4,4833,2,3091,1,30922,10,31891,10,11380,4,0.182,7759,3,0.236
SR8 5RL,Live,E01020744,Easington 011E E01020744,5821,2,9036,3,0.167,2935,1,0.204,8831,3,4100,2,1197,1,29878,10,32435,10,7436,3,0.241,15129,5,0.14
TS28 5AX,Live,E01020794,Easington 013C E01020794,17689,6,17088,6,0.095,11569,4,0.106,18084,6,12905,4,10752,4,24041,8,32581,10,15979,5,0.13,18561,6,0.11
DH1 5BQ,Live,E01020711,Durham 002C E01020711,12808,4,9391,3,0.163,8173,3,0.133,12920,4,9386,3,15121,5,29387,9,30548,10,12697,4,0.165,9334,3,0.21
DL1 2AN,Live,E01012326,Darlington 005B E01012326,6941,3,7983,3,0.181,6358,2,0.152,5665,2,3264,1,3927,2,27828,9,29671,10,11800,4,0.177,7688,3,0.237
DL3 8AR,Live,E01012336,Darlington 011A E01012336,28409,9,26008,8,0.051,24606,8,0.05,32134,10,16739,6,17664,6,22024,7,32753,10,29367,9,0.038,24724,8,0.073
DL1 1LL,Live,E01012342,Darlington 009C E01012342,5180,2,5000,2,0.23,6182,2,0.154,2575,1,6563,2,1565,1,23819,8,27695,9,3272,1,0.329,9100,3,0.213
BN25 4LX,Live,E01021078,Lewes 012E E01021078,29966,10,25014,8,0.055,25096,8,0.049,25246,8,28263,9,28018,9,21228,7,28841,9,23707,8,0.071,28612,9,0.053
TN35 5DN,Live,E01021004,Hastings 004A E01021004,10516,4,11551,4,0.139,11160,4,0.109,8641,3,8455,3,6845,3,15083,5,15172,5,11530,4,0.18,14132,5,0.15
TN34 2NT,Live,E01020988,Hastings 002C E01020988,22045,7,24295,8,0.058,17454,6,0.075,20249,7,17046,6,25243,8,7434,3,29396,9,21776,7,0.083,28722,9,0.052
TN37 7PS,Live,E01020971,Hastings 001C E01020971,9792,3,8911,3,0.169,6734,3,0.148,6844,3,8338,3,21117,7,15102,5,23397,8,8512,3,0.223,12241,4,0.171
BN21 1UE,Live,E01020940,Eastbourne 006A E01020940,31653,10,28443,9,0.041,29408,9,0.035,29041,9,28209,9,21046,7,26137,8,29030,9,30688,10,0.03,25251,8,0.07
BN3 6ND,Live,E01016981,Brighton and Hove 011A E01016981,24525,8,25765,8,0.052,18105,6,0.073,31495,10,22605,7,15354,5,18689,6,14693,5,29866,10,0.035,27309,9,0.059
BN1 8PB,Live,E01016929,Brighton and Hove 001D E01016929,24064,8,20914,7,0.073,21965,7,0.058,20386,7,19489,6,24783,8,17418,6,20055,7,22556,7,0.078,17969,6,0.115
BN1 6PZ,Live,E01017003,Brighton and Hove 004D E01017003,26802,9,24141,8,0.058,23942,8,0.052,28170,9,27562,9,25650,8,10912,4,18528,6,27258,9,0.05,18003,6,0.115
SP10 2PS,Live,E01023202,Test Valley 003C E01023202,8965,3,7684,3,0.185,10091,4,0.117,6723,3,9520,3,3161,1,22727,7,22438,7,6983,3,0.249,4975,2,0.293
PO9 2RR,Live,E01022955,Havant 014C E01022955,24476,8,25479,8,0.053,18016,6,0.073,27242,9,18319,6,14083,5,23976,8,21479,7,24770,8,0.065,27695,9,0.057
GU46 6NW,Live,E01022897,Hart 002D E01022897,31465,10,30706,10,0.031,30544,10,0.03,23483,8,32182,10,25987,8,14599,5,32111,10,24918,8,0.064,31984,10,0.03
PO11 0NU,Live,E01022938,Havant 017B E01022938,21149,7,19869,7,0.078,13884,5,0.092,17882,6,14645,5,21256,7,29378,9,25579,8,22348,7,0.08,22846,7,0.083
GU14 9RN,Live,E01023132,Rushmoor 005C E01023132,22351,7,20092,7,0.077,25580,8,0.047,15298,5,18666,6,9508,3,19829,7,27562,9,18225,6,0.11,14957,5,0.141
SO45 2PA,Live,E01023031,New Forest 014F E01023031,19966,7,20736,7,0.074,17171,6,0.076,9024,3,19102,6,18694,6,25626,8,19654,6,16814,6,0.122,25337,8,0.069
SO50 4FZ,Live,E01022673,Eastleigh 004D E01022673,21438,7,17883,6,0.09,19840,7,0.066,13253,5,22318,7,19068,6,30053,10,14477,5,15354,5,0.136,20645,7,0.096
RG22 6SR,Live,E01022549,Basingstoke and Deane 014B E01022549,9250,3,10126,4,0.154,9132,3,0.125,3853,2,12350,4,5139,2,14908,5,27581,9,10125,4,0.199,9059,3,0.214
PO16 9BD,Live,E01022762,Fareham 012C E01022762,26020,8,23915,8,0.059,27166,9,0.042,18850,6,25857,8,23445,8,31763,10,7627,3,23877,8,0.07,22664,7,0.084
RG21 4AL,Live,E01022502,Basingstoke and Deane 011B E01022502,20423,7,26013,8,0.051,22965,7,0.055,19346,6,18580,6,8953,3,5564,2,22328,7,28560,9,0.043,20223,7,0.099
PO3 6RB,Live,E01017019,Portsmouth 014E E01017019,5840,2,9438,3,0.162,9399,3,0.122,6778,3,4755,2,5058,2,17295,6,942,1,7928,3,0.232,14347,5,0.148
PO2 9RJ,Live,E01017090,Portsmouth 007C E01017090,12536,4,14547,5,0.113,21276,7,0.061,11372,4,19079,6,6647,3,13490,5,1680,1,7971,3,0.232,24193,8,0.075
SO16 9RJ,Live,E01017240,Southampton 012D E01017240,1827,1,3648,2,0.259,2671,1,0.211,1244,1,2203,1,1907,1,6201,2,8187,3,4052,2,0.309,14173,5,0.15
LE10 0EP,Live,E01025864,Hinckley and Bosworth 008C E01025864,25268,8,24253,8,0.058,24107,8,0.052,13861,5,18912,6,15472,5,29145,9,30906,10,25568,8,0.06,20075,7,0.1
LE4 8GQ,Live,E01025766,Charnwood 021E E01025766,10571,4,9453,3,0.162,11013,4,0.11,6087,2,11635,4,7231,3,22103,7,17537,6,7506,3,0.24,10666,4,0.191
LE8 0LG,Live,E01025787,Harborough 003F E01025787,32161,10,28088,9,0.042,29330,9,0.035,28482,9,28179,9,25574,8,29631,10,31480,10,27592,9,0.049,28545,9,0.053
LE16 7JG,Live,E01025794,Harborough 007B E01025794,32342,10,31125,10,0.028,28778,9,0.037,30609,10,29950,10,32588,10,17496,6,32811,10,31433,10,0.025,32018,10,0.03
LE9 9JL,Live,E01025876,Hinckley and Bosworth 005E E01025876,28091,9,30074,10,0.034,27844,9,0.04,26550,9,16914,6,29509,9,8929,3,28833,9,30778,10,0.029,28950,9,0.051
LE7 1LY,Live,E01025759,Charnwood 017D E01025759,16792,6,14126,5,0.117,12816,4,0.098,18310,6,15448,5,10203,4,28602,9,17107,6,16559,6,0.125,16172,5,0.13
LE11 4SQ,Live,E01025698,Charnwood 004D E01025698,26615,9,22886,7,0.064,24223,8,0.051,15284,5,26204,8,20526,7,25712,8,26678,9,22912,7,0.076,22942,7,0.082
LE4 4GH,Live,E01025683,Charnwood 020B E01025683,19474,6,18302,6,0.087,15214,5,0.085,11680,4,20373,7,25201,8,24749,8,13667,5,24960,8,0.064,16152,5,0.13
LE19 4AQ,Live,E01025627,Blaby 006C E01025627,19015,6,19305,6,0.081,17072,6,0.077,13290,5,22748,7,22905,7,8259,3,17155,6,19712,7,0.098,19224,6,0.106
LE17 4EW,Live,E01025793,Harborough 010D E01025793,24578,8,20666,7,0.074,20774,7,0.063,14297,5,29485,9,18996,6,18747,6,31588,10,20638,7,0.091,23441,8,0.079
LE13 0BN,Live,E01025897,Melton 004B E01025897,16632,6,15617,5,0.105,17769,6,0.074,10854,4,14293,5,16902,6,7545,3,30372,10,14263,5,0.148,13961,5,0.152
LE3 6DN,Live,E01013726,Leicester 012D E01013726,225,1,177,1,0.438,381,1,0.308,1018,1,505,1,1006,1,13389,5,13897,5,319,1,0.5,1767,1,0.405
B77 2NE,Live,E01029829,Tamworth 010A E01029829,14457,5,15877,5,0.103,14518,5,0.089,6046,2,17538,6,6749,3,21061,7,22163,7,14911,5,0.141,16600,6,0.126
ST5 2QS,Live,E01029601,Newcastle-under-Lyme 015E E01029601,27283,9,26176,8,0.05,21502,7,0.06,28543,9,15638,5,29973,10,19837,7,25097,8,27508,9,0.049,27708,9,0.057
ST17 9DJ,Live,E01029727,Stafford 013D E01029727,6151,2,5161,2,0.227,4151,2,0.182,3305,2,8219,3,9233,3,28125,9,21950,7,4586,2,0.296,7731,3,0.236
WS11 1JT,Live,E01029367,Cannock Chase 011E E01029367,14023,5,12132,4,0.134,9355,3,0.123,13683,5,11022,4,18297,6,24102,8,18877,6,14690,5,0.143,14401,5,0.147
ST7 1DP,Live,E01029543,Newcastle-under-Lyme 003D E01029543,5190,2,5259,2,0.225,4709,2,0.174,1219,1,5481,2,8709,3,26740,9,27466,9,3221,1,0.331,13302,5,0.158
ST5 9JU,Live,E01029612,Newcastle-under-Lyme 009E E01029612,23127,8,22737,7,0.064,17872,6,0.074,20674,7,16692,6,18361,6,31876,10,16477,6,20916,7,0.089,22572,7,0.084
WS15 2UE,Live,E01029370,Cannock Chase 001C E01029370,26124,8,30282,10,0.033,26054,8,0.046,21470,7,22549,7,17143,6,11511,4,19093,6,26367,9,0.056,30049,10,0.045
ST19 5PH,Live,E01029658,South Staffordshire 001D E01029658,10869,4,12581,4,0.129,10638,4,0.113,8841,3,12904,4,8208,3,10598,4,11377,4,12280,4,0.17,14488,5,0.146
WS12 1DH,Live,E01029393,Cannock Chase 008E E01029393,19782,7,19139,6,0.082,18709,6,0.07,13500,5,18545,6,25314,8,24187,8,8115,3,20771,7,0.09,16093,5,0.131
WV5 8BJ,Live,E01029674,South Staffordshire 013D E01029674,32230,10,31848,10,0.023,30169,10,0.032,26415,9,30208,10,31770,10,18661,6,29412,9,32534,10,0.012,28726,9,0.052
DY7 6AA,Live,E01029650,South Staffordshire 014B E01029650,25375,8,26562,9,0.048,20451,7,0.064,26494,9,22993,8,15130,5,28888,9,11642,4,28470,9,0.044,26004,8,0.066
WS11 4AW,Live,E01029364,Cannock Chase 011B E01029364,28133,9,25024,8,0.055,23100,8,0.055,24950,8,26312,9,15009,5,29416,9,25024,8,21683,7,0.084,25583,8,0.068
ST6 6JZ,Live,E01014259,Stoke-on-Trent 001C E01014259,10754,4,12380,4,0.131,9692,3,0.12,8265,3,6764,3,12671,4,15036,5,17149,6,11696,4,0.178,15578,5,0.135
ST6 7AB,Live,E01014243,Stoke-on-Trent 006C E01014243,12659,4,18874,6,0.084,9664,3,0.12,14148,5,4940,2,13778,5,19323,6,12635,4,18639,6,0.107,23662,8,0.078
ST2 8DD,Live,E01014267,Stoke-on-Trent 007E E01014267,17010,6,17122,6,0.095,15875,5,0.082,13992,5,11314,4,15751,5,20385,7,15328,5,18350,6,0.109,17772,6,0.117
ST3 3JD,Live,E01014237,Stoke-on-Trent 032C E01014237,1629,1,2918,1,0.279,1065,1,0.26,1987,1,213,1,6524,2,24121,8,16315,5,3552,2,0.322,5196,2,0.287
SN11 8YH,Live,E01031903,North Wiltshire 015D E01031903,30762,10,25453,8,0.053,26315,9,0.045,24923,8,27828,9,29779,10,25614,8,29496,9,26085,8,0.057,26123,8,0.065
SP1 1QY,Live,E01032012,Salisbury 012C E01032012,29359,9,31401,10,0.027,25848,8,0.046,25281,8,26998,9,23053,8,11731,4,28133,9,31930,10,0.02,29909,10,0.045
SP2 9HS,Live,E01031981,Salisbury 007B E01031981,6324,2,5674,2,0.217,5903,2,0.157,2326,1,8088,3,7370,3,19509,6,28211,9,5337,2,0.28,7672,3,0.237
SN5 6HN,Live,E01015499,Swindon 018A E01015499,30300,10,27763,9,0.043,27101,9,0.043,24474,8,23537,8,29298,9,20114,7,30046,10,22765,7,0.077,29771,10,0.046
SN1 4JE,Live,E01032707,Swindon 021F E01032707,30151,10,30457,10,0.032,30459,10,0.031,31213,10,24476,8,16505,6,14965,5,26603,9,31745,10,0.022,22679,7,0.084
SN6 7BZ,Live,E01015520,Swindon 001B E01015520,22303,7,22208,7,0.067,15695,5,0.083,18081,6,18620,6,18115,6,29100,9,19632,6,22001,7,0.082,28405,9,0.054
SL6 4PU,Live,E01016534,Windsor and Maidenhead 006C E01016534,32743,10,32030,10,0.022,30871,10,0.029,31586,10,32079,10,30565,10,26207,8,26608,9,31776,10,0.022,32146,10,0.028
SL4 5EH,Live,E01016547,Windsor and Maidenhead 012B E01016547,26601,9,28302,9,0.041,31919,10,0.023,31281,10,31328,10,5011,2,31280,10,7059,3,26353,9,0.056,18260,6,0.113
RG5 3EU,Live,E01016615,Wokingham 005A E01016615,15497,5,11991,4,0.135,12114,4,0.103,6967,3,22456,7,22238,7,18079,6,24146,8,12216,4,0.171,14204,5,0.149
RG41 5NE,Live,E01016704,Wokingham 009E E01016704,19584,6,16597,6,0.098,16257,5,0.08,12427,4,20494,7,23345,8,15760,5,23927,8,15158,5,0.138,18696,6,0.109
PE13 2SE,Live,E01018070,Fenland 003B E01018070,6816,3,9405,3,0.163,10625,4,0.113,1257,1,5261,2,12211,4,8996,3,19151,6,7752,3,0.235,8222,3,0.227
PE28 5TQ,Live,E01018195,Huntingdonshire 004E E01018195,16832,6,13253,5,0.124,11499,4,0.107,11804,4,18829,6,21517,7,21460,7,23747,8,14859,5,0.141,13291,5,0.158
PE26 1DG,Live,E01018156,Huntingdonshire 003A E01018156,17241,6,23411,8,0.061,16823,6,0.078,18611,6,21657,7,16202,5,1433,1,20871,7,22859,7,0.076,25871,8,0.067
WA7 1QU,Live,E01012386,Halton 009B E01012386,23861,8,25909,8,0.051,21869,7,0.059,29151,9,14294,5,26837,9,5001,2,32184,10,21162,7,0.087,26223,8,0.065
WA7 6EP,Live,E01012438,Halton 014D E01012438,1084,1,382,1,0.402,551,1,0.291,3749,2,859,1,10269,4,14957,5,29312,9,145,1,0.543,2321,1,0.379
EX17 3LU,Live,E01020061,Mid Devon 011D E01020061,24215,8,18812,6,0.084,17415,6,0.075,16110,5,25949,8,27978,9,25979,8,26421,9,19312,6,0.101,22866,7,0.083
EX8 3AF,Live,E01019910,East Devon 016C E01019910,26107,8,23182,8,0.062,21059,7,0.062,22928,7,24102,8,21554,7,29912,10,15390,5,25677,8,0.06,21788,7,0.089
TQ13 7EW,Live,E01020195,Teignbridge 017A E01020195,15566,5,16951,6,0.096,16568,6,0.079,12697,4,23282,8,26787,9,5755,2,5185,2,14470,5,0.145,20535,7,0.097
PL3 4BD,Live,E01015170,Plymouth 024B E01015170,4746,2,4154,2,0.248,3752,2,0.189,15068,5,3230,1,10258,4,15538,5,4160,2,5353,2,0.279,5567,2,0.278
PL5 2AF,Live,E01015148,Plymouth 006E E01015148,9308,3,9801,3,0.158,8148,3,0.133,5120,2,6139,2,13206,5,18215,6,24553,8,10392,4,0.195,6606,3,0.256
PL5 4AA,Live,E01015030,Plymouth 007A E01015030,2190,1,3451,2,0.264,880,1,0.269,4529,2,1972,1,1339,1,18367,6,25843,8,8517,3,0.223,5902,2,0.271
SS16 5BA,Live,E01021297,Basildon 020D E01021297,14899,5,14026,5,0.117,15410,5,0.084,12999,4,16094,5,7369,3,8799,3,26879,9,12102,4,0.173,14748,5,0.144
CO3 3LE,Live,E01021646,Colchester 007A E01021646,19464,6,18577,6,0.086,26008,8,0.046,27758,9,19708,7,10588,4,2885,1,20184,7,11035,4,0.186,21558,7,0.09
CO4 3JL,Live,E01021705,Colchester 022G E01021705,19072,6,18085,6,0.089,19629,6,0.067,18234,6,20054,7,16839,6,3902,2,30897,10,11807,4,0.176,24672,8,0.073
CM9 6AB,Live,E01021891,Maldon 004C E01021891,24340,8,19273,6,0.082,21263,7,0.061,21814,7,19982,7,22291,7,25523,8,19561,6,18255,6,0.11,20076,7,0.1
SS8 7FH,Live,E01021498,Castle Point 011B E01021498,11499,4,13449,5,0.122,8265,3,0.132,6285,2,14332,5,7702,3,19888,7,22802,7,10229,4,0.198,17491,6,0.119
CM8 2SD,Live,E01021362,Braintree 015A E01021362,16926,6,19259,6,0.082,16172,5,0.081,14791,5,19769,7,8908,3,7148,3,21437,7,27175,9,0.051,16963,6,0.123
CM12 9LH,Live,E01021255,Basildon 004C E01021255,26854,9,28307,9,0.041,23140,8,0.055,25121,8,26428,9,15913,5,12607,4,24411,8,26833,9,0.053,30352,10,0.043
SS0 0RT,Live,E01015860,Southend-on-Sea 004D E01015860,22054,7,22559,7,0.065,21447,7,0.06,18203,6,19334,6,11218,4,20946,7,16876,6,28363,9,0.044,18036,6,0.114
SS3 9LL,Live,E01015919,Southend-on-Sea 017F E01015919,18789,6,15061,5,0.109,16014,5,0.081,11059,4,20998,7,27577,9,12065,4,27249,9,14783,5,0.142,19698,6,0.102
SS17 8JT,Live,E01015943,Thurrock 001A E01015943,20575,7,23382,8,0.061,23197,8,0.055,11565,4,26304,9,14259,5,6315,2,21205,7,17567,6,0.115,29517,9,0.048
HR1 1HY,Live,E01013988,Herefordshire 011B E01013988,24315,8,20827,7,0.073,19083,6,0.069,25164,8,18905,6,22229,7,25314,8,18612,6,30045,10,0.034,17106,6,0.122
HR5 3AR,Live,E01014034,Herefordshire 006D E01014034,11153,4,8361,3,0.176,7960,3,0.135,11504,4,12242,4,24148,8,30583,10,6506,2,10914,4,0.188,9557,3,0.206
B45 9EL,Live,E01032170,Bromsgrove 003B E01032170,19886,7,22087,7,0.067,17549,6,0.075,16385,5,21281,7,24474,8,20718,7,5119,2,23021,8,0.075,26778,9,0.062
WR2 4AF,Live,E01032288,Worcester 012C E01032288,17994,6,18025,6,0.089,16968,6,0.077,17686,6,23893,8,10004,4,26912,9,5250,2,15497,5,0.135,18338,6,0.112
B98 7UH,Live,E01032253,Redditch 009A E01032253,22188,7,29130,9,0.038,22496,7,0.057,13873,5,15549,5,19100,6,7071,3,29577,10,30995,10,0.028,30240,10,0.043
CT2 8QA,Live,E01024122,Canterbury 020C E01024122,16299,5,14227,5,0.116,19856,7,0.066,14979,5,10395,4,12578,4,7932,3,30308,10,14547,5,0.144,9140,3,0.213
TN10 4PU,Live,E01024730,Tonbridge and Malling 009A E01024730,24898,8,26087,8,0.05,22906,7,0.056,18954,6,25495,8,9930,4,18074,6,26225,8,25577,8,0.06,28453,9,0.054
CT9 5RE,Live,E01024672,Thanet 005A E01024672,2616,1,3214,1,0.27,2309,1,0.219,2361,1,7121,3,855,1,7654,3,25171,8,4045,2,0.309,4245,2,0.311
ME20 7JU,Live,E01024718,Tonbridge and Malling 005B E01024718,31908,10,30907,10,0.029,29884,10,0.033,23061,8,29181,9,24306,8,29897,10,26707,9,26499,9,0.055,31905,10,0.031
ME16 8AE,Live,E01024367,Maidstone 008C E01024367,18962,6,20055,7,0.077,19041,6,0.069,19557,6,16625,6,14492,5,9028,3,15296,5,24571,8,0.066,16610,6,0.126
ME15 9QL,Live,E01024404,Maidstone 012D E01024404,31499,10,30373,10,0.032,29458,9,0.035,25361,8,29417,9,23568,8,26258,8,22987,7,28838,9,0.041,31352,10,0.036
TN24 8AL,Live,E01024023,Ashford 005C E01024023,16275,5,14340,5,0.115,13705,5,0.093,11123,4,22396,7,13807,5,12973,4,20477,7,13784,5,0.153,15637,5,0.135
DA1 1QE,Live,E01024136,Dartford 008B E01024136,18108,6,25741,8,0.052,23585,8,0.054,18360,6,19160,6,15567,5,16020,5,1237,1,27663,9,0.048,20326,7,0.098
ME10 4EG,Live,E01032737,Swale 013G E01032737,20491,7,20277,7,0.076,17834,6,0.074,20505,7,17332,6,14460,5,10122,4,27452,9,20118,7,0.095,19511,6,0.104
DA3 7PH,Live,E01024158,Dartford 013B E01024158,21842,7,20659,7,0.074,18889,6,0.07,20703,7,22922,7,11273,4,24903,8,13995,5,19961,7,0.096,24698,8,0.073
ME6 5HS,Live,E01024772,Tonbridge and Malling 002D E01024772,23124,8,22193,7,0.067,20694,7,0.063,8982,3,25552,8,24067,8,22003,7,24166,8,22696,7,0.078,22803,7,0.083
ME10 4NL,Live,E01024600,Swale 011D E01024600,4579,2,5549,2,0.22,4108,2,0.183,2367,1,6914,3,4703,2,7890,3,26765,9,4714,2,0.293,8517,3,0.222
CT12 6RH,Live,E01024686,Thanet 011A E01024686,4914,2,7936,3,0.181,3193,1,0.199,2874,1,5730,2,2450,1,20253,7,24670,8,6446,2,0.258,13684,5,0.154
DA12 4LF,Live,E01024298,Gravesham 008B E01024298,26766,9,28017,9,0.042,24230,8,0.051,17152,6,26308,9,9066,3,32660,10,25595,8,29390,9,0.038,30603,10,0.041
CT17 0AS,Live,E01024248,Dover 011H E01024248,6584,3,5344,2,0.223,4954,2,0.171,4800,2,12085,4,4546,2,21777,7,20253,7,6071,2,0.265,7366,3,0.242
CT6 7NS,Live,E01024064,Canterbury 003A E01024064,19569,6,19399,6,0.081,20155,7,0.065,18517,6,23161,8,7880,3,6593,3,31322,10,20786,7,0.09,21436,7,0.091
TN13 3LE,Live,E01024467,Sevenoaks 011F E01024467,31897,10,32254,10,0.02,32341,10,0.019,31186,10,31506,10,15948,5,21565,7,23973,8,32339,10,0.015,29648,10,0.047
ME5 0LP,Live,E01016081,Medway 034C E01016081,28669,9,28758,9,0.039,28306,9,0.038,17670,6,22217,7,20312,7,24318,8,25572,8,26472,9,0.055,26142,8,0.065
ME3 9HH,Live,E01016077,Medway 003D E01016077,9925,4,10932,4,0.145,8251,3,0.132,4441,2,9952,4,12547,4,23919,8,15041,5,10841,4,0.189,14383,5,0.147
ME4 5JB,Live,E01016062,Medway 022D E01016062,2701,1,2856,1,0.281,3468,2,0.194,3170,1,12368,4,120,1,17252,6,5568,2,1383,1,0.404,12460,4,0.168
ME5 7EH,Live,E01016061,Medway 020A E01016061,3365,2,3119,1,0.273,6938,3,0.146,2164,1,10530,4,1067,1,18397,6,2995,1,885,1,0.435,6405,2,0.26
BB12 8ST,Live,E01024884,Burnley 004B E01024884,8104,3,8171,3,0.178,7246,3,0.143,9509,3,6738,3,1955,1,31814,10,20338,7,7415,3,0.241,11471,4,0.18
PR1 6DT,Live,E01025294,Preston 011D E01025294,7449,3,7654,3,0.185,9201,3,0.124,11098,4,9863,4,18887,6,27149,9,72,1,8938,3,0.217,895,1,0.468
PR4 2ST,Live,E01025011,Fylde 002D E01025011,7218,3,6794,3,0.198,7438,3,0.141,5415,2,3517,2,18089,6,32504,10,7732,3,7470,3,0.241,5788,2,0.273
BB11 5BT,Live,E01024872,Burnley 010A E01024872,685,1,948,1,0.355,642,1,0.284,1158,1,546,1,1262,1,27497,9,17477,6,2102,1,0.369,2812,1,0.359
BB5 0LU,Live,E01025082,Hyndburn 006E E01025082,1862,1,1718,1,0.318,1611,1,0.24,1237,1,1180,1,8038,3,30208,10,15181,5,2921,1,0.34,1492,1,0.421
PR2 1SL,Live,E01025267,Preston 013D E01025267,7004,3,9918,4,0.156,6587,3,0.15,12082,4,2781,1,4351,2,30100,10,6143,2,11359,4,0.182,10512,4,0.193
L40 6JJ,Live,E01025468,West Lancashire 009A E01025468,30234,10,24923,8,0.055,25338,8,0.048,21763,7,26139,8,30120,10,27784,9,31858,10,23468,8,0.073,18597,6,0.11
PR3 3AR,Live,E01025317,Ribble Valley 006B E01025317,22276,7,23653,8,0.06,21018,7,0.062,21440,7,16147,5,22979,7,26697,9,6695,3,24305,8,0.068,25298,8,0.07
BB10 3AA,Live,E01024857,Burnley 007B E01024857,3142,1,4942,2,0.231,5203,2,0.167,6509,2,1310,1,353,1,28799,9,5762,2,8266,3,0.227,3956,2,0.319
PR5 6RN,Live,E01025402,South Ribble 008D E01025402,12195,4,11650,4,0.138,14521,5,0.089,18688,6,9434,3,10363,4,30028,10,2361,1,9516,3,0.208,14437,5,0.147
PR25 2TP,Live,E01025422,South Ribble 013B E01025422,11637,4,12017,4,0.135,13621,5,0.094,10027,4,7445,3,9419,3,32107,10,6638,3,13336,5,0.158,10124,4,0.198
BB5 3EA,Live,E01025075,Hyndburn 007B E01025075,5160,2,6427,2,0.204,6020,2,0.156,9326,3,4164,2,4505,2,32565,10,1210,1,6154,2,0.263,11001,4,0.186
BB8 8JF,Live,E01025228,Pendle 007C E01025228,13312,5,18218,6,0.088,12273,4,0.102,11947,4,8303,3,12560,4,27526,9,5416,2,22873,7,0.076,17999,6,0.115
BB3 0AL,Live,E01012591,Blackburn with Darwen 014C E01012591,3390,2,5936,2,0.213,1637,1,0.239,7635,3,240,1,9671,3,28267,9,20385,7,12288,4,0.17,7480,3,0.24
FY2 0AZ,Live,E01012703,Blackpool 002B E01012703,12583,4,13886,5,0.118,10025,4,0.117,13209,5,4016,2,18130,6,31041,10,16138,5,14161,5,0.149,18050,6,0.114
FY2 0TS,Live,E01012693,Blackpool 005A E01012693,10922,4,13456,5,0.122,13016,4,0.097,10211,4,4623,2,9787,3,29061,9,6498,2,12719,4,0.165,16972,6,0.123
